archive-4.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
archive-8.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
archive.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
forums.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
http.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
pkg.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
siteforums.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
status.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
tools.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
www.cn.docs.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
www.kali.org:176.9.122.179, 176.31.102.224, 88.198.36.214
